方案,buffer_lag_days,relief_lag_days,buffer_alpha,relief_alpha,risk_alpha,RMSE,MAE,平均误差,最大绝对误差,峰值误差,末日误差,初始冲击吸收_RMSE,初始冲击吸收_MAE,高位平台形成_RMSE,高位平台形成_MAE,中期再定价回落_RMSE,中期再定价回落_MAE,后期二次抬升_RMSE,后期二次抬升_MAE,优化目标
buffer_lag0_relief_lag2_ba0.55_ra1.0,0,2,0.55,1.0,1.0,3.844817692626418,3.292619641844111,0.02981618292672171,7.114135165808008,-4.259687197784174,-0.5096871977841744,3.3168007915845203,2.951406097994982,4.059463545052584,3.2932488140827085,4.487994833212696,4.1345691701513765,3.4974605221034825,2.969262225036522,5.092658102762373
buffer_lag3_relief_lag1_ba1.0_ra1.0,3,1,1.0,1.0,1.0,3.8992913271067886,3.1494292361849556,0.02280651112822464,10.250661295945903,-4.073732374457123,-0.3237323744571228,3.3168007915845203,2.951406097994982,5.5674582511576105,4.515863453089162,3.6746075015742847,3.1793858040482568,2.679759321107897,2.2548189503569582,5.095796106237111
buffer_lag1_relief_lag2_ba1.0_ra1.0,1,2,1.0,1.0,1.0,3.8804664280254944,3.3120051948854883,0.029906127205367984,7.113246088439595,-4.263363727160822,-0.5133637271608222,3.3168007915845203,2.951406097994982,4.182920484381463,3.374055412047727,4.501169099935403,4.138726871561347,3.49810094916165,2.965343095483893,5.141002073121133
buffer_lag3_relief_lag1_ba0.75_ra1.0,3,1,0.75,1.0,1.0,3.936812494412032,3.168165508297547,0.02589013498669076,10.250661295945903,-4.09214092569303,-0.34214092569303034,3.3168007915845203,2.951406097994982,5.666346616468129,4.604972619346618,3.6749698595784452,3.1443773661164394,2.6994822431133563,2.2799663623177095,5.142221241929824
buffer_lag2_relief_lag0_ba0.75_ra0.4,2,0,0.75,0.4,1.0,3.890500154269819,3.256602342806857,0.04536750538699678,8.958271396319105,-4.399640445601889,-0.6496404456018894,3.3168007915845203,2.951406097994982,5.027564845074912,4.106268794156701,4.098861945314729,3.6405515041068917,2.977275633598265,2.579945263037036,5.144959753218853
buffer_lag3_relief_lag0_ba1.0_ra0.75,3,0,1.0,0.75,1.0,3.9341189846877618,3.0629983821396136,0.017550957657797808,10.250661295945903,-3.9591163234287308,-0.20911632342873077,3.3168007915845203,2.951406097994982,5.5674582511576105,4.515863453089162,3.8715851398846377,3.0621205479019777,2.596244644436489,2.0407659326627603,5.164288488928735
buffer_lag3_relief_lag1_ba0.55_ra1.0,3,1,0.55,1.0,1.0,3.962080678604099,3.1694464760510486,0.031431961750085564,10.250661295945903,-4.124272336899395,-0.374272336899395,3.3168007915845203,2.951406097994982,5.734333319187479,4.636456098530289,3.658576098600828,3.079769228892623,2.731670367831972,2.3206250200115868,5.1712561807042325
buffer_lag2_relief_lag1_ba1.0_ra0.55,2,1,1.0,0.55,1.0,3.9137714065732028,3.2896240704537685,0.037320664881742294,8.527474763110177,-4.331079952985661,-0.581079952985661,3.3168007915845203,2.951406097994982,4.838581922307113,3.939736356381387,4.226383893547906,3.778979178505768,3.1949750555769443,2.7207556125786945,5.1751887367166365
buffer_lag3_relief_lag0_ba1.0_ra0.55,3,0,1.0,0.55,1.0,3.944093520131171,3.1549274634203646,0.02552082170947169,10.250661295945903,-4.105965336384855,-0.3559653363848554,3.3168007915845203,2.951406097994982,5.5674582511576105,4.515863453089162,3.84706899738259,3.1848572034656057,2.689042022663188,2.270424088675346,5.176702246519541
buffer_lag1_relief_lag2_ba0.75_ra1.0,1,2,0.75,1.0,1.0,3.9154386691852605,3.330467464348588,0.03159540089632853,7.167771525966984,-4.282809814360633,-0.5328098143606326,3.3168007915845203,2.951406097994982,4.371992186585683,3.5122048071065395,4.433479920342437,4.067823546163126,3.5219184332472815,2.9803815083534198,5.178534518898634
buffer_lag2_relief_lag0_ba0.55_ra0.4,2,0,0.55,0.4,1.0,3.935300040014325,3.2811929449221453,0.04921231860691531,9.302908702886256,-4.426503253997993,-0.6765032539979927,3.3168007915845203,2.951406097994982,5.199010877254335,4.2539810764894215,4.046359921881943,3.5731953752038463,3.004756419812225,2.606162441243697,5.19431805727096
