参数组,参数,中文名,扰动比例,原值,扰动后值,RMSE,MAE,MAPE,方向命中率,最大绝对误差,综合得分,高位平台形成_RMSE,中期再定价回落_RMSE,后期二次抬升_RMSE,RMSE改善率,综合得分改善率
behavior,risk_weight,封锁风险溢价权重,0.05,2.009607695713614,2.110088080499295,3.4768326978560387,2.949382114437686,2.973973871528312,66.66666666666666,6.453289198655881,6.697282987752764,3.671999001597467,3.9038701496615187,3.0242819909955667,-2.864439930505944,-2.957460676692043
behavior,relief_start_day,预期修复开始日,-0.15,29.0,25.0,3.5957238349684033,2.810826241910902,2.787894492368403,68.88888888888889,9.760404982699612,6.725440256241412,3.9726854846048156,4.293197848938645,2.734416910605748,-6.381914394924583,-3.3903229088068207
behavior,relief_start_day,预期修复开始日,0.1,29.0,32.0,3.472129863120084,2.847927908796941,2.8620878864122283,68.88888888888889,6.768771760182517,6.727985060703073,3.7296250092539993,4.068847230140843,2.7785961771900887,-2.7253033935371107,-3.429444236929057
behavior,relief_discount_strength,预期修复折价强度,-0.1,0.24,0.216,3.5032684235502756,2.9271516786653238,2.9376171216280063,66.66666666666666,6.877246166039612,6.729092531419099,3.7296250092539993,3.998538028576333,3.020003796840869,-3.6465587018149566,-3.446469405628706
behavior,relief_decay_days,预期修复消退期,0.15,4.0,5.0,3.372013650190891,2.7557043418722076,2.7473451669420097,66.66666666666666,7.235787658476099,6.750532563779729,3.7296250092539993,3.777057555472398,2.717225317328704,0.23670227825583148,-3.776067437056273
assumption,spr_max_release,SPR释放上限,-0.1,700.0,630.0,3.5468040055911945,2.8591391625980127,2.854600253963801,62.22222222222222,7.869386582163713,6.78892545018249,4.299887371943504,3.833504717800507,2.717475597954694,-4.934588254243292,-4.366282020986124
assumption,supply_interruption,供应中断量,0.05,1472.9594690966978,1546.6074425515328,3.5527924260634944,2.979709449900808,3.0039438336911557,62.22222222222222,6.780810093490288,6.817801492368154,4.0179275737174365,3.8666780995626144,2.980762659234473,-5.111759712142708,-4.810193975022652
behavior,relief_start_day,预期修复开始日,0.15,29.0,33.0,3.5647160848881887,2.9320834850552187,2.9502563381866955,68.88888888888889,7.500533658424615,6.898238077017163,3.7296250092539993,4.358564983696894,2.788637636742634,-5.464529199061343,-6.04674714383935
behavior,relief_discount_strength,预期修复折价强度,-0.15,0.24,0.204,3.59982463966306,3.020095770523049,3.03631522649667,68.88888888888889,6.697771824510653,6.8995577763207825,3.7296250092539993,4.19471803536238,3.1846747233304495,-6.503239467149193,-6.067034906713621
behavior,risk_weight,封锁风险溢价权重,-0.05,2.009607695713614,1.9091273109279334,3.4844930419599764,2.7886362375905867,2.7543772067017342,66.66666666666666,8.16970514618292,7.04393882882407,4.001206066226781,3.873996356939352,2.753063688642005,-3.0910763764909386,-8.286607614444536
behavior,uncertainty_floor,不确定性溢价平台,-0.05,0.2958766054506273,0.2810827751780959,3.467747248831985,2.7802668320531434,2.7487580651559895,66.66666666666666,8.12511041638929,7.153318360692033,3.924687407243635,3.866462217727218,2.795780611026299,-2.5956407944552664,-9.968101269666287
behavior,risk_weight,封锁风险溢价权重,0.1,2.009607695713614,2.2105684652849757,3.8085615795011734,3.265727683784787,3.3108976067417153,62.22222222222222,7.180023744981398,7.255299281459167,3.885688224794497,4.3267177335593585,3.5417596404017098,-12.678862591752088,-11.53585593358831
assumption,supply_interruption,供应中断量,-0.15,1472.9594690966978,1400.0,3.7282913371274016,2.967566460911891,2.926073012764308,57.77777777777777,10.365601708383906,7.320522026113565,4.9328445995829435,3.748384501009261,2.75416820045006,-10.30401334175637,-12.538526446430767
assumption,supply_interruption,供应中断量,-0.1,1472.9594690966978,1400.0,3.7282913371274016,2.967566460911891,2.926073012764308,57.77777777777777,10.365601708383906,7.320522026113565,4.9328445995829435,3.748384501009261,2.75416820045006,-10.30401334175637,-12.538526446430767
assumption,supply_interruption,供应中断量,-0.05,1472.9594690966978,1400.0,3.7282913371274016,2.967566460911891,2.926073012764308,57.77777777777777,10.365601708383906,7.320522026113565,4.9328445995829435,3.748384501009261,2.75416820045006,-10.30401334175637,-12.538526446430767
assumption,spr_max_release,SPR释放上限,-0.15,700.0,595.0,3.991672978493067,3.086927847704344,3.080221331742825,60.0,10.313634142407025,7.556263147628661,5.564278696488138,4.0452726478283205,2.6709876554905794,-18.09633681011393,-16.162579258989886
behavior,risk_weight,封锁风险溢价权重,-0.1,2.009607695713614,1.8086469261422529,3.7729689304499794,3.056150009816433,2.9909665290337064,66.66666666666666,9.103574420431713,7.889813437172674,4.44756340908553,4.177824642428262,3.017896374809756,-11.62583006805551,-21.29025430008145
behavior,risk_weight,封锁风险溢价权重,0.15,2.009607695713614,2.311048850070656,4.228255281282175,3.6126299696116906,3.6754178966521946,62.22222222222222,8.057263595530387,8.001955363621578,4.147912012904941,4.8550456248490095,4.157649349294205,-25.09578377484063,-23.014214300530178
assumption,supply_interruption,供应中断量,0.1,1472.9594690966978,1620.2554160063678,4.341144672139969,3.4818827616819306,3.5248227333875395,60.0,12.189160003557149,8.0943471812364,6.21801145799011,3.916542073618826,3.227771621661442,-28.435692529105282,-24.4345554965527
behavior,uncertainty_floor,不确定性溢价平台,-0.1,0.2958766054506273,0.26628894490556454,3.7307097662263833,3.0611244439415652,3.0022730834243676,66.66666666666666,9.014444241171361,8.100194280036304,4.230875446204404,4.168399749680089,3.189894232001026,-10.375564197491187,-24.5244430592949
behavior,risk_weight,封锁风险溢价权重,-0.15,2.009607695713614,1.708166541356572,4.207660143714982,3.369902541262743,3.2754676059337453,66.66666666666666,10.037448259887498,8.989051552749107,5.022724457919768,4.647980869564308,3.488517101556543,-24.486462741807486,-38.18886307407874
assumption,supply_interruption,供应中断量,0.15,1472.9594690966978,1693.9033894612023,5.060246270567427,3.9313579047148908,3.9935965152501702,60.0,13.985009427740692,9.259070014035867,7.786008207962793,4.027532340394163,3.645855925408867,-49.71079823694825,-42.339862092748064
behavior,uncertainty_floor,不确定性溢价平台,-0.15,0.2958766054506273,0.2514951146330332,4.135388966651802,3.3657893903386595,3.2806242225932625,66.66666666666666,9.903781967619636,9.288368110174996,4.62624499877353,4.641464243058854,3.8289651099945083,-22.348271233108598,-42.79026229035992
